fecha,ticker,precio,moneda,fuente
2026-04-29,IBB,9095.00,ARS,Yahoo Finance IBB.BA
2026-04-30,IBB,9395.00,ARS,Yahoo Finance IBB.BA
2026-05-04,IBB,9440.00,ARS,Yahoo Finance IBB.BA
2026-05-05,IBB,9375.00,ARS,Yahoo Finance IBB.BA
2026-05-06,IBB,9565.00,ARS,Yahoo Finance IBB.BA
2026-05-07,IBB,9380.00,ARS,Yahoo Finance IBB.BA
2026-05-08,IBB,9360.00,ARS,Yahoo Finance IBB.BA
2026-05-11,IBB,9325.00,ARS,Yahoo Finance IBB.BA
2026-05-12,IBB,9415.00,ARS,Yahoo Finance IBB.BA
2026-05-13,IBB,9470.00,ARS,Yahoo Finance IBB.BA
2026-05-14,IBB,9410.00,ARS,Yahoo Finance IBB.BA
2026-05-15,IBB,9190.00,ARS,Yahoo Finance IBB.BA
2026-05-18,IBB,9045.00,ARS,Yahoo Finance IBB.BA
2026-05-19,IBB,9080.00,ARS,Yahoo Finance IBB.BA
2026-05-20,IBB,9205.00,ARS,Yahoo Finance IBB.BA
2026-05-21,IBB,9270.00,ARS,Yahoo Finance IBB.BA
2026-05-22,IBB,9290.00,ARS,Yahoo Finance IBB.BA
2026-05-26,IBB,9320.00,ARS,Yahoo Finance IBB.BA
2026-05-27,IBB,9305.00,ARS,Yahoo Finance IBB.BA
2026-05-28,IBB,9440.00,ARS,Yahoo Finance IBB.BA
2026-05-29,IBB,9460.00,ARS,Yahoo Finance IBB.BA
2026-06-01,IBB,9350.00,ARS,Yahoo Finance IBB.BA
2026-06-02,IBB,9120.00,ARS,Yahoo Finance IBB.BA
2026-06-03,IBB,9385.00,ARS,Yahoo Finance IBB.BA
2026-06-04,IBB,9620.00,ARS,Yahoo Finance IBB.BA
2026-06-05,IBB,9410.00,ARS,Yahoo Finance IBB.BA
